Nome;BI;NIF;Morada;Codigo postal;Especialidade
Alice Fernandes;147-41-1000;PT741474147;R. Alves Cabral, 77;4952-100;Cardiologia
Ricardo Quaresma;456-75-7777;PT111111178;R. Londres Costa, 11;4895-202;Oftalmologia
Ana Pedro;199-77-1555;PT452478987;R. Cordeiro Sá, 55;4955-478;Psiquiatria
Diogo Macedo;178-00-1014;PT741157147;R. Almirante Pires, 99;4782-140;Pneumologia
Alexandre Maior;478-75-9677;PT456111178;R. Gouveia Melo, 43;4210-663;Obstetricia
Paula Pinotes;781-77-1444;PT456666987;Tv. Almeida Sá, 88;4123-889;Cardiologia
Olavo Pereira;789-55-4442;PT471208987;Av. Primeiro de Maio, 47;4788-478;Psiquiatria
Júlia Pinheiro;123-85-4141;PT747474747;R. Mestre Egas, 12;4777-788;Oftalmologia
Roberto Carlos;745-11-1200;PT145661198;R. Midões, 78;4788-773;Obstetricia
Pedro Senhor;778-41-1420;PT454444447;Tv. Alhendra, 14;4777-777;Cardiologia
