Nome;BI;NIF;Morada;Codigo postal
Roque Loredo;8084120;903006570;Baltaria;9206-325
Armandino Couto;7747465;994944908;Ilhotes do Martinhal;4233-463
Josselino Sanchez;3356966;887782481;Vendas;9128-521
Saúl Carneiro;11599728;122960061;Pico do Cabeço;4234-78
Isaac Paião;5424784;829516735;Leixão;7022-298
Duarte Gonzaga;9439222;605334715;Numão;7074-403
Dejalme Lameira;13725400;767537771;Vaquinhas Cimeiras;178-84
Cândido Paias;3855143;402876020;Motes;986-553
Nembrode Reis;18484944;619020996;Barranco da Ferreira;6351-296
Lótus Meleiro;9753749;324996062;Pescanseco Cimeiro;7385-954
Sotero Morais;9681047;809296661;Travassos de Cima;7641-746
Cláudio Fernardes;2520878;851270160;Alcaria Cova;5891-749
Gimeno Alencar;18921715;181736715;Barranco dos Olhos Negros;3114-616
Antonelo Beja;8698774;259979794;Distrito de Portalegre;7075-898
Ary Romeiro;5191110;899715381;Cabeço Redondo;121-434
Alfeu Moniz;1028307;291879937;Barbas Novas;1670-43
Oseas Menezes;3574255;165635528;Ribeira;4959-674
Zaqueu Garcia;3651383;119040001;Pinhal do Sol;4008-956
de Assis Alegria;18143736;529061881;Monte do Sul;6748-234
Miguel Padre;7817795;788194414;Serra do Luzim;5597-34
Teotónio Taborda;15431895;348325512;Savoy;1576-632
Heriberto Geraldo;6433562;758783348;Gestoso;2083-863
Anolido Barreiros;9984066;325426373;Monte Branco;5612-57
Adalsindo Veiga;11242893;504117117;Santo Izidro;8394-724
Sário Cerqueira;19311571;244075853;Piedosas;6984-105
Uriel Calado;13870696;678303138;Alto de Vila Verde;3969-49
Alvarino Paredes;6401503;960519182;Laços;2446-150
Gávio Guilhermino;18489659;90614440;Nordestinho;8296-725
Virgínio Quintanilha;14028098;724768414;Santo António da Terrugem;8771-473
de Assis Dolores;5664850;996697828;Cabeço Figueiro;861-462
Afre da Cunha;28444;946879352;Casal das Tábuas de Cima;2392-157
Heldemaro Miranda;17919885;247339589;Ribeiro;4401-780
Leonardo Santiago;8911169;510943768;Ribeira das Nove;9310-889
Leonel Lemos;11085451;817004721;Vale das Éguas;7251-916
